<All keys matched successfully>
patient124 mean DICE: 0.6561013557830421 | running DICE: 0.6281572281916513 | Percentage: 1.8658892128279884e-05 | running Per: 1.0106899902818272e-05 
patient124 inverse mean DICE: 0.7012512150093467 | running DICE: 0.6735215028399559 | Percentage: 1.8658892128279884e-05 | running Per: 1.0106899902818272e-05 
patient125 mean DICE: 0.5556522457347342 | running DICE: 0.6252570288933746 | Percentage: 0.0 | running Per: 9.70262390670554e-06 
patient125 inverse mean DICE: 0.6092963064297882 | running DICE: 0.6709524949835491 | Percentage: 0.0 | running Per: 9.70262390670554e-06 
patient126 mean DICE: 0.6580763744484582 | running DICE: 0.6265193114147241 | Percentage: 0.0 | running Per: 9.329446064139942e-06 
patient126 inverse mean DICE: 0.6989974369473778 | running DICE: 0.6720311465975425 | Percentage: 0.0 | running Per: 9.329446064139942e-06 
patient127 mean DICE: 0.6586401196593124 | running DICE: 0.6277089709793385 | Percentage: 0.0002052478134110787 | running Per: 1.658568189180434e-05 
patient127 inverse mean DICE: 0.7233192963912877 | running DICE: 0.6739307077010146 | Percentage: 0.0002052478134110787 | running Per: 1.658568189180434e-05 
patient128 mean DICE: 0.536880988649724 | running DICE: 0.6244651144675666 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient128 inverse mean DICE: 0.6124272950267567 | running DICE: 0.6717341572483625 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient129 mean DICE: 0.6358258198675029 | running DICE: 0.6248568629296333 | Percentage: 1.8658892128279884e-05 | running Per: 1.608525183472404e-05 
patient129 inverse mean DICE: 0.6719653095670255 | running DICE: 0.6717421280179715 | Percentage: 1.8658892128279884e-05 | running Per: 1.608525183472404e-05 
patient130 mean DICE: 0.5667849429924484 | running DICE: 0.6229211322650605 | Percentage: 0.0 | running Per: 1.554907677356657e-05 
patient130 inverse mean DICE: 0.6315979711390902 | running DICE: 0.6704039894553422 | Percentage: 0.0 | running Per: 1.554907677356657e-05 
patient131 mean DICE: 0.8656083125141167 | running DICE: 0.630749750982772 | Percentage: 0.0 | running Per: 1.5047493651838616e-05 
patient131 inverse mean DICE: 0.8668081262103174 | running DICE: 0.6767396067700188 | Percentage: 0.0 | running Per: 1.5047493651838616e-05 
patient132 mean DICE: 0.8939825736482696 | running DICE: 0.6389757766910686 | Percentage: 0.0 | running Per: 1.457725947521866e-05 
patient132 inverse mean DICE: 0.8959873167828145 | running DICE: 0.6835910977079188 | Percentage: 0.0 | running Per: 1.457725947521866e-05 
patient133 mean DICE: 0.8356065375184577 | running DICE: 0.644934284594929 | Percentage: 0.0 | running Per: 1.4135524339605972e-05 
patient133 inverse mean DICE: 0.8447592415546757 | running DICE: 0.6884749808547903 | Percentage: 0.0 | running Per: 1.4135524339605972e-05 
patient134 mean DICE: 0.6408594041512485 | running DICE: 0.6448144351701148 | Percentage: 0.0 | running Per: 1.371977362373521e-05 
patient134 inverse mean DICE: 0.688537100475673 | running DICE: 0.6884768079024634 | Percentage: 0.0 | running Per: 1.371977362373521e-05 
patient135 mean DICE: 0.7894833703595973 | running DICE: 0.6489478333183858 | Percentage: 0.0 | running Per: 1.3327780091628489e-05 
patient135 inverse mean DICE: 0.818130840847085 | running DICE: 0.6921812088437382 | Percentage: 0.0 | running Per: 1.3327780091628489e-05 
patient136 mean DICE: 0.7432037641891504 | running DICE: 0.6515660536203515 | Percentage: 3.731778425655977e-05 | running Per: 1.3994169096209913e-05 
patient136 inverse mean DICE: 0.7552231230621195 | running DICE: 0.6939323731275822 | Percentage: 3.731778425655977e-05 | running Per: 1.3994169096209913e-05 
patient137 mean DICE: 0.6952191514983143 | running DICE: 0.6527458670765126 | Percentage: 5.597667638483965e-05 | running Per: 1.5128831455362068e-05 
