<All keys matched successfully>
patient124 inverse mean DICE: 0.853355515789897 | running DICE: 0.8060964774820802 | Percentage: 0.0 | running Per: 6.84159378036929e-05 
patient125 mean DICE: 0.7181404908446979 | running DICE: 0.760395425177851 | Percentage: 0.0 | running Per: 6.567930029154519e-05 
patient125 inverse mean DICE: 0.7836741162732151 | running DICE: 0.8051995830337256 | Percentage: 0.0 | running Per: 6.567930029154519e-05 
patient126 mean DICE: 0.8137629769303789 | running DICE: 0.7624480233221789 | Percentage: 0.0 | running Per: 6.3153173357255e-05 
patient126 inverse mean DICE: 0.8710267591432412 | running DICE: 0.8077313974994762 | Percentage: 0.0 | running Per: 6.3153173357255e-05 
patient127 mean DICE: 0.79893620655796 | running DICE: 0.7637994375160967 | Percentage: 0.0 | running Per: 6.0814166936615916e-05 
patient127 inverse mean DICE: 0.8317958068566572 | running DICE: 0.8086226719201126 | Percentage: 0.0 | running Per: 6.0814166936615916e-05 
patient128 mean DICE: 0.7368464900240603 | running DICE: 0.762836832248524 | Percentage: 0.0 | running Per: 5.864223240316535e-05 
patient128 inverse mean DICE: 0.7835833044410019 | running DICE: 0.8077284087958586 | Percentage: 0.0 | running Per: 5.864223240316535e-05 
patient129 mean DICE: 0.7977565915553341 | running DICE: 0.7640409618797933 | Percentage: 0.0010635568513119532 | running Per: 9.329446064139942e-05 
patient129 inverse mean DICE: 0.8269981229957021 | running DICE: 0.8083928816993015 | Percentage: 0.0010635568513119532 | running Per: 9.329446064139942e-05 
patient130 mean DICE: 0.7556410817219664 | running DICE: 0.7637609658745323 | Percentage: 0.0 | running Per: 9.018464528668611e-05 
patient130 inverse mean DICE: 0.8020243703890108 | running DICE: 0.8081805979889584 | Percentage: 0.0 | running Per: 9.018464528668611e-05 
patient131 mean DICE: 0.8829327266192792 | running DICE: 0.7676052162211372 | Percentage: 0.0 | running Per: 8.727546318066397e-05 
patient131 inverse mean DICE: 0.8948823107536383 | running DICE: 0.8109774274329803 | Percentage: 0.0 | running Per: 8.727546318066397e-05 
patient132 mean DICE: 0.9269512071547706 | running DICE: 0.7725847784378131 | Percentage: 0.0 | running Per: 8.454810495626822e-05 
patient132 inverse mean DICE: 0.9339886613324143 | running DICE: 0.8148215284923377 | Percentage: 0.0 | running Per: 8.454810495626822e-05 
patient133 mean DICE: 0.8639798250112815 | running DICE: 0.7753543253036758 | Percentage: 0.0 | running Per: 8.198604116971463e-05 
patient133 inverse mean DICE: 0.8653879219804804 | running DICE: 0.8163538434465238 | Percentage: 0.0 | running Per: 8.198604116971463e-05 
patient134 mean DICE: 0.7846317800196414 | running DICE: 0.7756271916188513 | Percentage: 0.0 | running Per: 7.957468701766421e-05 
patient134 inverse mean DICE: 0.8236489522643514 | running DICE: 0.8165684054705776 | Percentage: 0.0 | running Per: 7.957468701766421e-05 
patient135 mean DICE: 0.8217521474989744 | running DICE: 0.7769450475011405 | Percentage: 0.0 | running Per: 7.730112453144523e-05 
patient135 inverse mean DICE: 0.8479824832143897 | running DICE: 0.8174659505489723 | Percentage: 0.0 | running Per: 7.730112453144523e-05 
patient136 mean DICE: 0.7991008788067443 | running DICE: 0.7775604872596295 | Percentage: 0.0001306122448979592 | running Per: 7.878198898607061e-05 
patient136 inverse mean DICE: 0.8126039895976227 | running DICE: 0.8173308960781015 | Percentage: 0.0001306122448979592 | running Per: 7.878198898607061e-05 
patient137 mean DICE: 0.8175905279952201 | running DICE: 0.7786423802524833 | Percentage: 0.000634402332361516 | running Per: 9.379875502324481e-05 
patient137 inverse mean DICE: 0.8315689319003882 | running DICE: 0.8177157078570823 | Percentage: 0.000634402332361516 | running Per: 9.379875502324481e-05 
patient138 mean DICE: 0.7828718106107844 | running DICE: 0.778753681051386 | Percentage: 0.0 | running Per: 9.133036673315943e-05 
patient138 inverse mean DICE: 0.8186390739728496 | running DICE: 0.817740006965392 | Percentage: 0.0 | running Per: 9.133036673315943e-05 
patient139 mean DICE: 0.7191899760939021 | running DICE: 0.7772264065652966 | Percentage: 0.0 | running Per: 8.89885624579502e-05 
patient139 inverse mean DICE: 0.7905229946835736 | running DICE: 0.8170421348556017 | Percentage: 0.0 | running Per: 8.89885624579502e-05 
patient140 mean DICE: 0.732662073848627 | running DICE: 0.7761122982473798 | Percentage: 3.731778425655977e-05 | running Per: 8.769679300291544e-05 
patient140 inverse mean DICE: 0.794043467107351 | running DICE: 0.8164671681618954 | Percentage: 3.731778425655977e-05 | running Per: 8.769679300291544e-05 
patient141 mean DICE: 0.7491005341218923 | running DICE: 0.7754534747321241 | Percentage: 0.0001306122448979592 | running Per: 8.874351134181894e-05 
patient141 inverse mean DICE: 0.8097950666547136 | running DICE: 0.8163044339787934 | Percentage: 0.0001306122448979592 | running Per: 8.874351134181894e-05 
patient142 mean DICE: 0.6453403210877598 | running DICE: 0.7723555425024964 | Percentage: 0.0 | running Per: 8.663057059558516e-05 
patient142 inverse mean DICE: 0.7093307093229188 | running DICE: 0.813757440534606 | Percentage: 0.0 | running Per: 8.663057059558516e-05 
patient143 mean DICE: 0.8406242256025681 | running DICE: 0.7739431862955213 | Percentage: 0.00027988338192419824 | running Per: 9.112482202183198e-05 
