<All keys matched successfully>
patient124 mean DICE: 0.8119941509436218 | running DICE: 0.7658861007561049 | Percentage: 0.00027988338192419824 | running Per: 0.0002301263362487852 
patient124 inverse mean DICE: 0.857064415250647 | running DICE: 0.8076587876902451 | Percentage: 0.00027988338192419824 | running Per: 0.0002301263362487852 
patient125 mean DICE: 0.7305118999240948 | running DICE: 0.7644711327228245 | Percentage: 9.329446064139942e-05 | running Per: 0.00022465306122448976 
patient125 inverse mean DICE: 0.780472388991106 | running DICE: 0.8065713317422797 | Percentage: 9.329446064139942e-05 | running Per: 0.00022465306122448976 
patient126 mean DICE: 0.8165053253760983 | running DICE: 0.7664724478248736 | Percentage: 3.731778425655977e-05 | running Per: 0.00021744785826418477 
patient126 inverse mean DICE: 0.8633401832067088 | running DICE: 0.8087547491062962 | Percentage: 3.731778425655977e-05 | running Per: 0.00021744785826418477 
patient127 mean DICE: 0.8059569235363941 | running DICE: 0.767934835814189 | Percentage: 0.00016793002915451894 | running Per: 0.00021561386459345642 
patient127 inverse mean DICE: 0.8318569069660257 | running DICE: 0.8096103845825824 | Percentage: 0.00016793002915451894 | running Per: 0.00021561386459345642 
patient128 mean DICE: 0.743660806441174 | running DICE: 0.7670679061937242 | Percentage: 0.0 | running Per: 0.0002079133694294044 
patient128 inverse mean DICE: 0.7834615278739321 | running DICE: 0.8086764968429877 | Percentage: 0.0 | running Per: 0.0002079133694294044 
patient129 mean DICE: 0.8120004886311992 | running DICE: 0.7686173055881199 | Percentage: 0.00317201166180758 | running Per: 0.00031012365537347943 
patient129 inverse mean DICE: 0.8342998843737529 | running DICE: 0.8095600619302555 | Percentage: 0.00317201166180758 | running Per: 0.00031012365537347943 
patient130 mean DICE: 0.7599775980614242 | running DICE: 0.76832931533723 | Percentage: 0.0 | running Per: 0.00029978620019436344 
patient130 inverse mean DICE: 0.8057331032323566 | running DICE: 0.8094324966403256 | Percentage: 0.0 | running Per: 0.00029978620019436344 
patient131 mean DICE: 0.8857103164056053 | running DICE: 0.7721157992426615 | Percentage: 0.0 | running Per: 0.0002901156776074485 
patient131 inverse mean DICE: 0.8947425400501281 | running DICE: 0.8121844335245127 | Percentage: 0.0 | running Per: 0.0002901156776074485 
patient132 mean DICE: 0.9260581358286344 | running DICE: 0.7769264972609731 | Percentage: 0.0 | running Per: 0.0002810495626822157 
patient132 inverse mean DICE: 0.9330084551510431 | running DICE: 0.8159601842003418 | Percentage: 0.0 | running Per: 0.0002810495626822157 
patient133 mean DICE: 0.8639296830724078 | running DICE: 0.7795629574370772 | Percentage: 0.0 | running Per: 0.00027253290926760313 
patient133 inverse mean DICE: 0.8674789646360797 | running DICE: 0.8175213593650612 | Percentage: 0.0 | running Per: 0.00027253290926760313 
